ACCOUNT NUMBER,DATE,DESCRIPTION,debit_clean,credit_clean,balance_clean,Amount,Z_score,LeadingDigit,Rounded,Precision,Mean,Median,StdDev,K_means Cluster,Cluster Label,Weekend,Holiday,EvenDollar
,2024-11-02,The Orange,24.23,,5027.47,24.23,0.01,2,False,0.23000000000000043,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-03,Paul,2.6,,5030.07,2.6,-0.56,2,False,0.6000000000000001,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-03,Knoops,5.6,,5035.67,5.6,-0.48,5,False,0.5999999999999996,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-07,Paul,2.6,,5038.27,2.6,-0.56,2,False,0.6000000000000001,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-07,Deliveroo x 2,32.43,,5070.7,32.43,0.23,3,False,0.4299999999999997,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-08,Paul,3.0,,5073.7,3.0,-0.55,3,True,0.0,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-08,Deliveroo,44.04,,5117.74,44.04,0.54,4,False,0.03999999999999915,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-08,Meraki Guest Invite,162.0,,5279.74,162.0,3.69,1,True,0.0,23.77,14.99,37.58,1,Medium,False,False,False
,2024-11-09,Vita Coffee Shop,21.9,,5301.64,21.9,-0.05,2,False,0.8999999999999986,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-10,Itsu lunch,2.95,,5304.59,2.95,-0.56,2,False,0.9500000000000002,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-10,Gordon Ramsey,14.33,,5318.92,14.33,-0.25,1,False,0.33000000000000007,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-11,Deliveroo,45.93,,5364.85,45.93,0.59,4,False,0.9299999999999997,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-12,Paul,3.95,,5368.8,3.95,-0.53,3,False,0.9500000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-12,Deliveroo,44.84,,5413.64,44.84,0.56,4,False,0.8400000000000034,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-14,Paul,4.25,,5417.89,4.25,-0.52,4,False,0.25,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-14,Itsu lunch,6.95,,5424.84,6.95,-0.45,6,False,0.9500000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-15,Uber Eats,35.93,,5460.77,35.93,0.32,3,False,0.9299999999999997,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-15,Itsu lunch,6.75,,5467.52,6.75,-0.45,6,False,0.75,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-16,Ronis Bakery lunch,20.5,,5488.02,20.5,-0.09,2,False,0.5,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-17,Laduree,6.7,,5494.72,6.7,-0.46,6,False,0.7000000000000002,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-18,Paul,3.95,,5498.67,3.95,-0.53,3,False,0.9500000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-20,Vita Coffee,4.9,,5503.57,4.9,-0.5,4,False,0.9000000000000004,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-20,Deliveroo,5.32,,5508.89,5.32,-0.49,5,False,0.3200000000000003,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-20,Blank Street Coffee,12.6,,5521.49,12.6,-0.3,1,False,0.5999999999999996,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-20,Partridges,5.98,,5527.47,5.98,-0.47,5,False,0.9800000000000004,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-20,Itsu,9.9,,5537.37,9.9,-0.37,9,False,0.9000000000000004,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-23,Itsu,1.99,,5539.36,1.99,-0.58,1,False,0.99,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-23,Itsu,4.94,,5544.3,4.94,-0.5,4,False,0.9400000000000004,23.77,14.99,37.58,0,Low,True,False,False
,2024-11-25,Itsu,2.95,,5547.25,2.95,-0.56,2,False,0.9500000000000002,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-25,Lionsprep,35.9,,5583.15,35.9,0.32,3,False,0.8999999999999986,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-26,Deliveroo,21.77,,5604.92,21.77,-0.05,2,False,0.7699999999999996,23.77,14.99,37.58,0,Low,False,False,False
,2024-11-26,Deliveroo,13.97,,5618.89,13.97,-0.26,1,False,0.9700000000000006,23.77,14.99,37.58,0,Low,False,False,False
